rank,fit_score,stars,language,full_name,url,fit_tags,pushed_at,description
1,226,198577,TypeScript,n8n-io/n8n,https://github.com/n8n-io/n8n,low-code;no-code;self-hosted;mcp,2026-07-29T21:15:29Z,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
2,224,235495,JavaScript,affaan-m/ECC,https://github.com/affaan-m/ECC,mcp;cursor,2026-07-29T18:11:01Z,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
3,224,150709,TypeScript,langgenius/dify,https://github.com/langgenius/dify,low-code;no-code;self-hosted;mcp,2026-07-29T17:57:29Z,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack."
4,218,82522,TypeScript,nexu-io/open-design,https://github.com/nexu-io/open-design,no-code;cursor,2026-07-29T17:59:12Z,"🎨 The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / Gemini / OpenCode / Qwen & 20+ CLIs via BYOK."
5,216,61328,JavaScript,asgeirtj/system_prompts_leaks,https://github.com/asgeirtj/system_prompts_leaks,erp;chatbot;cursor,2026-07-27T12:21:35Z,"Extracted system prompts from Anthropic - Claude Fable 5, Opus 5, Claude Design, Claude Code. OpenAI - ChatGPT GPT-5.6-Sol, Codex. Google - Gemini 3.5 Flash, 3.1 Pro, Antigravity. xAI - Grok, Cursor, Copilot, VS Code, Perplexity, and more. Updated regularly."
6,215,55015,TypeScript,FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,low-code;no-code;chatbot,2026-07-29T15:51:00Z,"Build AI Agents, Visually"
7,212,41423,TypeScript,danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,erp;auth;mcp,2026-07-29T21:03:02Z,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active"
8,212,40508,TypeScript,appsmithorg/appsmith,https://github.com/appsmithorg/appsmith,admin-dashboard;internal-tool;internal tool;low-code;self-hosted,2026-07-29T18:56:20Z,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API."
9,212,38271,JavaScript,ToolJet/ToolJet,https://github.com/ToolJet/ToolJet,erp;internal-tool;internal tool;low-code;no-code;self-hosted,2026-07-29T20:36:24Z,"ToolJet is the open-source foundation of ToolJet AI - the enterprise app generation platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀"
10,211,35911,TypeScript,ItzCrazyKns/Vane,https://github.com/ItzCrazyKns/Vane,erp;self-hosted,2026-04-11T14:33:06Z,Vane is an AI-powered answering engine.
11,211,35234,JavaScript,sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,starter;boilerplate;starter-kit;erp;auth;oauth,2026-07-29T13:29:07Z,A boilerplate for Node.js web applications
12,211,34040,TypeScript,diegosouzapw/OmniRoute,https://github.com/diegosouzapw/OmniRoute,mcp;cursor,2026-07-29T18:44:02Z,"Never stop coding. Free MIT AI gateway: one endpoint, 290+ providers (90+ free), 500+ models — Kimi, Claude, GPT, OpenAI, Gemini, GLM, DeepSeek, MiniMax. Works with Claude Code, Codex, Cursor, OpenCode, Cline & Copilot. Quota-aware auto-fallback, RTK+Caveman compression saves 15-95% tokens, MCP/A2A, Desktop/PWA. Built by 500+ contributors"
13,210,64072,JavaScript,Mintplex-Labs/anything-llm,https://github.com/Mintplex-Labs/anything-llm,no-code;self-hosted,2026-07-29T20:24:27Z,Stop renting your intelligence. Own it with AnythingLLM. Everything you need for a powerful local-first agent experience 
14,210,30555,TypeScript,JCodesMore/ai-website-cloner-template,https://github.com/JCodesMore/ai-website-cloner-template,boilerplate;erp,2026-07-04T06:49:18Z,Clone any website with one command using AI coding agents
15,209,66495,TypeScript,ruvnet/ruflo,https://github.com/ruvnet/ruflo,mcp,2026-07-29T19:50:48Z,"🌊 The leading agent meta-harness. Deploy intelligent multi-player swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning intelligence, RAG integration, and native Claude Code / Codex / Hermes and many more Integrated"
